E1D51D42 9EEE1951 5E590B4A F4228D65
5238A5A1 9222E906 3A14E9E9 324F99B7
FFF00000 00000000 7FF00000 00000001
56AA1854 AE625ED9 D13F13B7 B8F1316B
4C59B349 A4164A08 5430EF0C C1480426
42B5C21A 41F13999 406BD715 EE10E7B5
4F63E708 6D5749F0 78DE25C5 87C1A7FC
3A7B06EF 79F6078D 6AD323B5 6AC54186
FFF00000 00000000 FFF00000 00000000
F0D271AA B743470F E0086117 F59309C3
5237FFA2 D7F33193 D00FE7D2 E22A421C
7FF00000 00000001 7FF00000 00000000
1EA8CB93 E993C973 EB020B86 88832A49
A7E2BA24 2C6E3090 D384BB5A 21B18869
7FF00000 00000000 FFF00000 00000000
DB494D3F 237DCF4E B519F1B8 8F88823D
F3D3ABE5 ACB6ABC0 8E2D8D53 DB096FCF
F6E4DA4E 17C80B02 717349BB 12A59F88
D0C9B461 E3073CFC 604C1333 361DBCB0
6278912E 869EE107 83080D64 2C942DCA
7CAEBB2E A1761D5D 459F1C54 7B6638B4
D816A2E4 C66ADEB6 B47FEA0C 52E1403A
85C17540 50C7F108 288D0E01 613E1E63
2CB30039 B01762F2 7A4990AE 5435547C
E578BA5F D1AD74C0 F5E727EF DC9F65BC
7FF00000 00000001 7FF00000 00000000
FFF00000 00000000 FDD75803 E5C10379
7FF00000 00000001 7FF00000 00000001
7FF00000 00000001 7FF00000 00000000
52FB7B27 D0D19574 30EA1EEC F31A5C8D
7FF00000 00000001 FFF00000 00000000
FFF00000 00000000 4A7C3C67 FA98822E
3B460CD3 0740BEF9 C638137E DADA98E5
C5475A9F 1A3CFD39 F35F06B4 EE39EB52
A75881D7 1FC62D86 9CF71C64 E8212924
FFF00000 00000000 7FF00000 00000001
7FF00000 00000000 7FF00000 00000001
E54FC95F 13AA390A A0A9F16F A068ADE8
F9B50417 7F2B9A11 E9E4828A 0F6FF6FD
D2FB1747 D23EA0F1 DFB9F3F8 24CA70EE
